,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1
4,5,30,28,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,28,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,1,0,6,3,1
6,7,30,28,P1 Thijs,0,0,5,2,0,0,0,0,0,1,0,2,0,1,0,0,6,4,1
7,8,27,25,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,1,0,10,4,1
8,9,30,25,P1 Thijs,3,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,11,5,1
9,10,30,27,P2 NNStonekeep,4,0,2,1,0,0,0,1,0,0,1,2,0,3,2,0,15,5,1
10,11,30,27,P1 Thijs,0,0,4,2,0,0,0,0,0,1,0,2,0,2,0,3,14,3,1
11,12,26,25,P2 NNStonekeep,0,0,2,1,0,0,1,1,0,1,0,2,0,3,3,0,21,6,1
12,13,26,22,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,14,0,1
13,14,22,20,P2 NNStonekeep,0,0,2,1,0,1,1,2,0,1,1,3,0,3,4,1,27,6,1
14,15,22,20,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,21,7,1
15,16,10,18,P2 NNStonekeep,0,0,2,1,0,1,0,3,0,1,1,4,0,3,5,1,34,7,1
16,17,8,18,P1 Thijs,0,0,2,2,0,0,0,0,0,2,0,2,0,2,1,0,30,9,1
17,18,0,18,P2 NNStonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,3,5,9,34,0,1
