,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
6,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,4,1
7,8,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,4,4,1
8,9,30,26,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,10,4,1
9,10,30,29,P2 Stonekeep,3,0,1,2,0,0,0,0,0,0,1,2,0,4,0,0,10,5,1
10,11,28,25,P1 Slage,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,16,6,1
11,12,28,25,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,4,0,0,16,6,1
12,13,30,21,P1 Slage,2,0,1,1,0,0,0,1,0,0,1,2,0,1,1,1,22,6,1
13,14,30,21,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,2,21,5,1
14,15,30,21,P1 Slage,0,0,6,4,0,0,0,1,0,2,1,5,0,3,1,1,29,7,1
15,16,30,23,P2 Stonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,4,1,6,23,2,1
16,17,30,23,P1 Slage,0,0,1,2,0,0,0,0,3,2,3,2,0,3,1,1,37,8,1
17,18,30,23,P2 Stonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,0,32,9,1
18,19,30,19,P1 Slage,0,0,1,2,0,0,0,2,2,1,4,4,0,4,1,3,44,7,1
19,20,30,19,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,5,1,2,40,8,1
20,21,30,19,P1 Slage,2,0,2,2,0,0,0,0,0,1,1,2,0,5,2,0,54,10,1
21,22,30,19,P2 Stonekeep,0,0,1,3,0,0,0,0,1,2,2,3,0,6,1,0,50,10,1
22,23,29,16,P1 Slage,4,0,2,1,0,0,0,0,0,0,0,1,0,6,3,4,60,6,1
23,24,29,16,P2 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,6,1,3,57,7,1
24,25,27,16,P1 Slage,0,0,4,2,0,0,0,0,0,1,0,2,0,7,4,4,66,6,1
