,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,27,30,P2 NNWabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,1
4,5,27,27,P1 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,5,3,1
5,6,26,27,P2 NNWabeka,0,0,1,1,0,0,0,3,3,1,5,4,0,1,0,0,7,3,1
6,7,26,24,P1 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,8,3,1
7,8,22,24,P2 NNWabeka,0,0,1,1,0,0,0,3,0,0,1,4,0,2,0,0,11,4,1
8,9,22,24,P1 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,13,5,1
9,10,7,24,P2 NNWabeka,0,0,1,2,0,0,0,6,1,1,1,8,0,3,0,0,16,5,1
10,11,7,12,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,5,14,1,1
11,12,-2,12,P2 NNWabeka,0,0,1,0,0,0,0,4,0,0,1,4,0,3,0,6,16,0,1
12,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 NNWabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
15,4,28,30,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,2
16,5,28,28,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,2
17,6,25,28,P2 NNWabeka,0,0,1,1,0,0,0,3,1,1,1,4,0,1,0,0,7,3,2
18,7,25,21,P1 Pizza,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,1,7,3,2
19,8,19,18,P2 NNWabeka,0,0,4,3,0,0,0,3,0,2,2,6,0,2,0,0,11,4,2
20,9,19,18,P1 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,12,5,2
21,10,12,18,P2 NNWabeka,0,0,1,1,0,0,0,4,0,1,3,5,0,2,0,0,16,5,2
