,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,1
2,3,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,1
3,4,30,27,P2 Solegit,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,0,4,2,1
4,5,30,27,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,6,3,1
5,6,30,27,P2 Solegit,0,0,1,1,0,0,0,3,3,1,5,4,0,2,0,1,6,2,1
6,7,30,27,P1 Solegit,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,0,10,4,1
7,8,30,27,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,10,4,1
8,9,30,19,P1 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,15,5,1
9,10,25,19,P2 Solegit,0,0,1,2,0,0,0,6,1,2,2,8,0,3,0,0,15,5,1
10,11,25,10,P1 Solegit,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,3,18,3,1
11,12,17,10,P2 Solegit,0,0,1,0,0,0,0,7,0,0,3,7,0,3,0,6,15,0,1
12,13,17,1,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,3,22,4,1
13,14,11,1,P2 Solegit,0,0,1,0,0,0,0,7,0,0,4,7,0,3,0,7,15,0,1
14,15,11,-6,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,8,22,0,1
15,1,30,26,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
16,2,30,26,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
17,3,30,26,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,2
18,4,28,26,P2 Solegit,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,2
19,5,28,26,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,3,1,2
20,6,25,21,P2 Solegit,0,0,4,3,0,0,0,3,0,2,1,6,0,2,0,0,7,3,2
21,7,25,21,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,7,4,2
22,8,19,21,P2 Solegit,0,0,1,1,0,0,0,5,1,0,4,6,0,3,0,0,11,4,2
23,9,19,21,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,9,2,2
24,10,11,21,P2 Solegit,0,0,1,1,0,0,0,7,1,1,2,8,0,3,0,2,14,3,2
25,11,11,18,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,3,12,3,2
26,12,0,18,P2 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,6,14,0,2
27,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
28,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
29,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
30,4,30,23,P2 Solegit,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,0,4,2,3
31,5,30,23,P1 Solegit,0,0,1,2,0,0,0,0,0,2,1,2,0,0,0,0,6,3,3
32,6,29,23,P2 Solegit,0,0,1,2,0,0,0,1,0,1,1,3,0,2,0,1,6,2,3
33,7,29,21,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,10,4,3
34,8,29,21,P2 Solegit,0,0,1,2,0,0,0,2,0,2,2,4,0,2,0,2,8,2,3
35,9,29,13,P1 Solegit,0,0,1,2,0,0,0,5,0,2,1,7,0,1,0,1,14,4,3
36,10,13,13,P2 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,0,13,5,3
37,11,13,3,P1 Solegit,0,0,1,1,0,0,0,7,1,0,3,8,0,2,0,2,18,4,3
38,12,4,1,P2 Solegit,0,0,2,1,0,0,0,2,0,1,0,3,0,2,1,3,16,3,3
39,13,4,0,P1 Solegit,0,0,1,0,0,0,0,2,0,0,1,2,0,2,0,7,18,0,3
40,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
41,2,30,27,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
42,3,30,26,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,4
43,4,30,21,P2 Solegit,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,0,4,2,4
44,5,30,21,P1 Solegit,0,0,1,2,0,0,0,0,1,1,1,2,0,1,0,0,4,3,4
45,6,26,21,P2 Solegit,0,0,1,1,0,0,0,4,0,1,3,5,0,1,0,2,5,1,4
46,7,26,21,P1 Solegit,0,0,1,2,0,0,0,0,0,1,1,2,0,2,0,2,6,2,4
47,8,20,21,P2 Solegit,0,0,1,1,0,0,0,4,0,1,2,5,0,1,0,3,6,1,4
48,9,20,21,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,11,5,4
49,10,15,21,P2 Solegit,0,0,1,1,0,0,0,5,2,0,3,6,0,2,0,1,10,4,4
50,11,15,21,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,2,15,4,4
51,12,7,21,P2 Solegit,0,0,1,1,0,0,0,7,1,1,2,8,0,2,0,3,13,3,4
52,13,7,15,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,15,0,4
53,14,-1,15,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,13,0,4
54,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
55,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
56,3,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
57,4,28,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,5
58,5,26,26,P1 Solegit,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,5,3,5
59,6,17,26,P2 Solegit,0,0,1,2,0,0,0,3,1,1,1,5,0,2,0,1,6,2,5
60,7,17,26,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,1,8,3,5
61,8,14,26,P2 Solegit,0,0,1,1,0,0,0,4,1,0,4,5,0,3,0,0,10,4,5
62,9,14,26,P1 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,2,1,0,13,5,5
63,10,6,26,P2 Solegit,0,0,1,2,0,0,0,7,2,2,5,9,0,3,0,1,14,4,5
64,11,6,25,P1 Solegit,0,0,1,1,0,0,0,3,2,1,4,4,0,2,1,1,18,5,5
65,12,-1,25,P2 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,6,14,0,5
66,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
67,2,30,27,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,6
68,3,30,25,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,6
69,4,25,25,P2 Solegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,6
70,5,25,22,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,6,3,6
71,6,23,22,P2 Solegit,0,0,1,1,0,0,0,3,0,1,2,4,0,1,0,0,7,3,6
72,7,23,19,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,8,2,6
73,8,18,19,P2 Solegit,0,0,1,1,0,0,0,4,2,0,4,5,0,2,0,0,11,4,6
74,9,18,13,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,13,5,6
75,10,12,13,P2 Solegit,0,0,1,1,0,0,0,7,1,1,2,8,0,2,0,1,15,4,6
76,11,12,13,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,13,0,6
77,12,0,13,P2 Solegit,0,0,1,0,0,0,0,5,0,0,0,5,0,2,0,6,15,0,6
78,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
79,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,7
80,3,30,26,P1 Solegit,0,0,4,2,0,0,0,1,1,0,1,3,0,2,0,0,3,2,7
81,4,28,26,P2 Solegit,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,7
82,5,28,26,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,1,5,2,7
83,6,28,26,P2 Solegit,0,0,1,1,0,0,0,3,1,1,3,4,0,1,0,1,6,2,7
84,7,28,26,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,9,4,7
85,8,21,26,P2 Solegit,0,0,1,1,0,0,0,3,0,0,4,4,0,2,0,0,10,4,7
86,9,21,26,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,1,13,4,7
87,10,14,26,P2 Solegit,0,0,1,2,0,0,0,7,2,2,3,9,0,2,0,1,14,4,7
88,11,14,26,P1 Solegit,0,0,1,0,0,0,0,1,1,0,1,1,0,3,0,6,13,0,7
89,12,7,26,P2 Solegit,0,0,1,0,0,0,0,6,0,0,0,6,0,2,0,6,14,0,7
90,13,7,26,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,6,14,1,7
91,14,0,24,P2 Solegit,0,0,2,1,0,0,0,2,0,0,0,3,0,3,1,4,17,3,7
92,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
93,2,26,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,8
94,3,26,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,8
95,4,25,29,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,8
96,5,25,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,2,1,8
97,6,25,28,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,5,3,8
98,7,25,26,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,6,4,8
99,8,24,26,P2 Solegit,0,0,4,4,0,0,0,5,1,3,5,9,0,3,0,0,9,4,8
100,9,24,20,P1 Solegit,0,0,1,2,0,0,0,3,2,2,3,5,0,1,0,0,11,5,8
101,10,22,20,P2 Solegit,0,0,1,1,0,0,0,6,3,0,6,7,0,4,0,1,13,4,8
102,11,22,20,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,4,13,2,8
103,12,16,20,P2 Solegit,0,0,1,2,0,0,0,5,2,1,3,7,0,5,0,3,16,3,8
104,13,16,18,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,6,14,1,8
105,14,4,18,P2 Solegit,0,0,1,2,0,0,0,4,2,0,3,6,0,7,0,2,21,5,8
106,15,4,14,P1 Solegit,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,7,15,1,8
107,16,-1,14,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,8,21,0,8
108,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
109,2,26,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,9
110,3,26,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,9
111,4,24,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,9
112,5,24,26,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,3,2,9
113,6,20,26,P2 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,0,7,3,9
114,7,20,24,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,5,2,9
115,8,10,19,P2 Solegit,0,0,1,2,0,0,0,4,1,2,2,6,0,2,0,1,10,3,9
116,9,10,16,P1 Solegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,10,5,9
117,10,0,16,P2 Solegit,0,0,1,1,0,0,0,4,0,1,2,5,0,2,0,4,11,1,9
118,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
119,2,30,25,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,10
120,3,30,25,P1 Solegit,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,2,1,10
121,4,28,25,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,10
122,5,28,25,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,10
123,6,26,25,P2 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,7,3,10
124,7,26,25,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,9,4,10
125,8,22,25,P2 Solegit,0,0,1,2,0,0,0,5,0,2,5,7,0,1,0,0,11,4,10
126,9,22,25,P1 Solegit,0,0,4,5,0,0,0,0,1,3,1,5,0,3,0,0,14,5,10
127,10,9,25,P2 Solegit,0,0,4,3,0,0,0,6,2,2,6,9,0,2,0,2,14,3,10
128,11,9,25,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,14,0,10
129,12,0,25,P2 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,14,0,10
130,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,11
131,2,30,30,P2 Solegit,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,11
132,3,30,30,P1 Solegit,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,11
133,4,27,30,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,4,2,11
134,5,27,30,P1 Solegit,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,1,3,2,11
135,6,24,25,P2 Solegit,0,0,1,2,0,0,0,3,1,2,2,5,0,2,0,0,7,3,11
136,7,24,25,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,7,4,11
137,8,19,25,P2 Solegit,0,0,1,1,0,0,0,5,1,0,5,6,0,3,0,0,11,4,11
138,9,19,25,P1 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,3,0,0,12,5,11
139,10,13,25,P2 Solegit,0,0,1,1,0,0,0,7,1,1,5,8,0,3,0,3,13,2,11
140,11,13,22,P1 Solegit,0,0,1,3,0,0,0,3,3,2,4,6,0,4,0,0,18,6,11
