,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,2,2,0,1
4,5,28,21,P1 Roffle,0,0,2,1,0,0,0,4,0,0,0,5,0,1,1,0,6,3,1
5,6,28,21,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,28,17,P1 Roffle,0,0,1,3,0,0,0,4,0,2,0,7,0,2,1,1,9,3,1
7,8,28,17,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,1
8,9,28,9,P1 Roffle,0,0,1,1,0,0,0,6,0,0,0,7,0,3,1,1,13,4,1
9,10,28,9,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,11,5,1
10,11,28,3,P1 Roffle,0,0,1,1,0,0,0,6,0,1,0,7,0,3,1,5,14,1,1
11,12,24,3,P2 Stonekeep,0,0,1,1,0,0,0,2,0,1,8,3,0,1,0,0,17,6,1
12,13,24,3,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,6,15,1,1
13,14,16,3,P2 Stonekeep,0,0,1,1,0,0,0,3,0,1,1,4,0,1,0,0,24,7,1
14,15,16,3,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,8,15,0,1
15,16,2,3,P2 Stonekeep,0,0,1,1,0,0,1,4,0,1,0,5,0,1,0,2,30,6,1
16,17,2,3,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,7,17,2,1
17,18,-6,3,P2 Stonekeep,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,9,30,0,1
18,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
19,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,3,30,27,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,2
21,4,30,27,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,3,2,2
22,5,30,25,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,2
23,6,30,25,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,2
24,7,30,19,P1 Roffle,0,0,1,1,0,0,0,4,0,1,0,5,0,0,0,3,7,1,2
25,8,30,19,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,7,4,2
26,9,30,12,P1 Roffle,0,0,1,1,0,0,0,5,0,0,0,6,0,1,0,1,11,4,2
27,10,30,12,P2 Stonekeep,0,0,2,2,0,0,0,1,0,1,2,3,0,3,0,0,12,5,2
28,11,30,5,P1 Roffle,0,0,1,1,0,0,0,5,0,1,0,6,0,1,0,5,12,1,2
29,12,26,5,P2 Stonekeep,0,0,1,2,0,0,0,2,1,1,8,4,0,4,0,0,18,6,2
30,13,24,0,P1 Roffle,0,0,2,3,0,0,0,0,0,2,0,3,0,2,1,0,19,7,2
31,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
32,2,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
33,3,30,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
34,4,30,26,P2 Stonekeep,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,2,2,0,3
35,5,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,5,3,3
36,6,30,26,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,5,3,3
37,7,30,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,3,6,1,3
38,8,30,30,P2 Stonekeep,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,3
39,9,30,30,P1 Roffle,0,0,1,1,0,0,0,2,0,0,1,3,0,1,0,1,10,4,3
40,10,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,10,5,3
41,11,30,18,P1 Roffle,0,0,1,2,0,0,0,6,1,1,1,8,0,2,0,3,13,3,3
42,12,25,18,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,7,2,0,2,0,0,16,6,3
43,13,25,18,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,14,1,3
44,14,18,21,P2 Stonekeep,3,0,1,1,0,0,0,2,0,0,1,3,0,3,0,1,22,6,3
45,15,18,21,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,16,2,3
46,16,13,21,P2 Stonekeep,0,0,1,1,0,0,1,2,0,1,1,3,0,3,0,1,29,7,3
47,17,13,21,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,8,17,1,3
48,18,0,21,P2 Stonekeep,0,0,1,0,0,1,0,2,0,0,0,2,0,3,0,9,29,0,3
49,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
50,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
51,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,4
52,4,30,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
53,5,30,27,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,5,3,4
54,6,30,27,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,4
55,7,28,18,P1 Roffle,0,0,2,2,0,0,0,4,1,1,1,6,0,1,1,0,9,4,4
56,8,23,18,P2 Stonekeep,0,0,1,1,0,0,0,1,1,0,4,2,0,2,0,0,8,4,4
57,9,23,18,P1 Roffle,0,0,1,2,0,0,0,2,0,1,1,4,0,2,1,0,14,5,4
58,10,23,20,P2 Stonekeep,4,0,3,1,0,0,0,0,0,0,1,1,0,3,1,2,11,3,4
59,11,23,12,P1 Roffle,0,0,1,1,0,0,0,6,0,1,0,7,0,2,1,5,15,1,4
60,12,23,12,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,7,1,0,3,1,0,17,6,4
61,13,23,12,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,5,17,2,4
62,14,23,12,P2 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,3,1,2,22,5,4
63,15,23,12,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,7,18,1,4
64,16,15,12,P2 Stonekeep,0,0,1,1,0,1,1,2,0,1,1,3,0,3,1,3,27,5,4
65,17,15,12,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,8,19,1,4
66,18,-1,15,P2 Stonekeep,3,0,1,1,0,1,0,2,0,0,1,3,0,4,1,3,33,6,4
67,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
68,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
69,3,30,26,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,5
70,4,30,26,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
71,5,30,24,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,5
72,6,30,24,P2 Stonekeep,0,0,1,2,0,0,0,0,1,1,3,2,0,1,0,0,6,3,5
73,7,30,23,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,4,0,5
74,8,30,23,P2 Stonekeep,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,4,6,0,5
75,9,30,23,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,5
76,10,26,23,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,11,5,5
77,11,26,23,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,2,8,4,5
78,12,22,23,P2 Stonekeep,0,0,1,1,0,0,0,2,0,1,5,3,0,1,0,0,17,6,5
79,13,22,23,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,10,2,5
80,14,14,23,P2 Stonekeep,0,0,1,1,0,0,0,3,0,1,1,4,0,1,0,3,21,4,5
81,15,14,23,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,13,3,5
82,16,0,23,P2 Stonekeep,0,0,1,1,0,0,0,4,1,0,3,5,0,2,0,4,25,4,5
83,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,6
84,2,30,26,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
85,3,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,6
