,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,30,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,1
4,5,28,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,24,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,4,2,1
6,7,24,24,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,1
7,8,17,24,P2 Viper,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,8,4,1
8,9,24,18,P1 Krebs1996,7,0,1,1,0,0,0,3,0,1,2,4,0,0,0,0,12,5,1
9,10,20,18,P2 Viper,0,0,1,1,0,0,0,2,0,0,1,3,0,3,0,1,12,4,1
10,11,23,13,P1 Krebs1996,3,0,1,1,0,0,0,2,0,1,0,3,0,0,0,3,15,3,1
11,12,14,13,P2 Viper,0,0,1,2,0,0,0,7,2,2,4,9,0,3,0,0,18,6,1
12,13,14,13,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,2,20,5,1
13,14,2,13,P2 Viper,0,0,1,1,0,0,0,6,0,0,0,7,0,4,0,3,22,4,1
14,15,2,13,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,1,27,7,1
15,16,0,13,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,8,22,0,1
16,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
17,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
18,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
19,4,29,30,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,2
20,5,29,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
21,6,21,30,P2 Viper,0,0,1,1,0,0,0,4,1,0,1,5,0,2,0,2,5,1,2
22,7,18,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,4,4,2
23,8,18,27,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,9,4,2
24,9,18,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,5,2
25,10,18,27,P2 Viper,0,0,1,2,0,0,0,2,2,2,2,4,0,3,0,0,14,5,2
26,11,22,27,P1 Krebs1996,4,0,1,1,0,0,0,1,1,1,6,2,0,1,0,0,15,6,2
27,12,22,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,5,15,1,2
28,13,22,27,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,3,19,4,2
29,14,22,24,P2 Viper,0,0,1,2,0,0,0,1,1,2,1,3,0,3,0,3,19,4,2
30,15,25,19,P1 Krebs1996,3,0,1,1,0,0,0,2,0,0,1,3,0,2,0,2,25,6,2
31,16,25,19,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,7,20,1,2
32,17,23,17,P1 Krebs1996,0,0,2,2,0,0,0,2,0,2,1,4,0,2,1,0,34,9,2
33,18,23,15,P2 Viper,0,0,2,2,0,0,0,0,0,1,0,2,0,4,1,1,28,8,2
34,19,23,4,P1 Krebs1996,0,0,1,2,0,0,0,4,1,1,6,6,0,3,1,3,41,7,2
35,20,23,4,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,9,29,1,2
36,21,23,-1,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,10,41,0,2
37,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
38,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
39,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
40,4,27,30,P2 Viper,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,1,3,1,3
41,5,30,30,P1 Krebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,3
42,6,27,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,5,2,3
43,7,30,30,P1 Krebs1996,3,0,1,1,0,0,0,2,1,1,3,3,0,0,0,1,8,3,3
44,8,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,9,4,3
45,9,30,27,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,1,12,4,3
46,10,23,27,P2 Viper,0,0,1,2,0,0,0,3,0,2,0,5,0,3,0,2,12,3,3
47,11,23,27,P1 Krebs1996,0,0,1,1,0,0,0,0,4,1,9,1,0,0,0,1,17,5,3
48,12,23,27,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,4,0,1,17,5,3
49,13,23,27,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,6,1,0,0,0,0,24,7,3
50,14,23,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,4,20,3,3
51,15,23,22,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,4,28,4,3
52,16,21,17,P2 Viper,0,0,2,3,0,0,0,2,1,3,2,5,0,4,1,2,26,6,3
53,17,18,12,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,3,3,0,1,0,0,37,9,3
54,18,18,9,P2 Viper,0,0,1,1,0,0,0,1,1,1,1,2,0,4,1,8,27,1,3
55,19,16,5,P1 Krebs1996,0,0,2,1,0,0,0,1,0,1,1,2,0,1,1,2,45,8,3
56,20,16,5,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,8,29,2,3
57,21,16,-1,P1 Krebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,10,45,0,3
