,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,28,30,P2 Solegit,0,0,1,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,1
4,5,30,30,P1 Slage,4,0,3,1,0,0,0,0,1,0,6,1,0,1,1,0,5,3,1
5,6,30,30,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,1
6,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,8,3,1
7,8,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,8,4,1
8,9,30,25,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,1,1,1,12,4,1
9,10,28,25,P2 Solegit,0,0,1,2,0,0,0,5,1,2,3,7,0,3,0,0,13,5,1
10,11,30,23,P1 Slage,2,0,1,1,0,0,0,3,0,0,2,4,0,2,1,0,18,6,1
11,12,17,23,P2 Solegit,0,0,1,3,0,0,0,3,1,2,1,6,0,4,0,0,19,6,1
12,13,17,16,P1 Slage,0,0,5,3,0,0,0,3,0,2,0,6,0,3,1,1,24,6,1
13,14,5,14,P2 Solegit,0,0,2,1,0,0,0,4,2,1,4,5,0,4,1,3,23,4,1
14,15,5,10,P1 Slage,0,0,1,1,0,0,0,3,0,1,1,4,0,3,1,4,28,4,1
15,16,3,10,P2 Solegit,0,0,1,0,0,0,0,2,0,0,1,2,0,4,1,8,23,0,1
16,17,3,6,P1 Slage,0,0,4,3,0,0,0,3,2,1,4,6,0,5,1,1,36,8,1
17,18,3,6,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,9,23,0,1
18,19,3,2,P1 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,5,1,5,41,5,1
19,20,3,2,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,9,24,1,1
20,21,3,-1,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,5,1,10,41,0,1
21,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
23,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
24,4,26,30,P2 Solegit,0,0,1,2,0,0,0,2,2,0,2,4,0,3,0,0,4,2,2
25,5,26,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,2
26,6,23,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,6,2,2
27,7,20,27,P1 Slage,0,0,1,1,0,0,0,1,0,0,2,2,0,1,0,0,9,4,2
28,8,20,27,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,10,4,2
29,9,20,22,P1 Slage,0,0,1,1,0,0,0,1,1,0,5,2,0,2,0,1,13,4,2
30,10,20,22,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,3,12,2,2
31,11,20,22,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,19,6,2
32,12,20,22,P2 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,4,0,0,18,6,2
33,13,18,17,P1 Slage,0,0,2,2,0,0,0,2,0,2,0,4,0,2,1,0,26,7,2
34,14,18,17,P2 Solegit,0,0,1,0,0,0,0,1,0,0,1,1,0,4,0,7,18,0,2
35,15,18,14,P1 Slage,0,0,1,2,0,0,0,3,2,2,3,5,0,2,1,0,34,8,2
36,16,18,14,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,4,22,4,2
37,17,15,0,P1 Slage,0,0,1,1,0,0,0,3,3,0,7,4,0,3,1,5,38,4,2
38,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
39,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
40,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
41,4,25,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,3
42,5,25,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3
43,6,20,30,P2 Solegit,0,0,4,3,0,0,0,2,1,1,1,5,0,3,0,0,6,3,3
44,7,20,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,3
45,8,15,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,1,9,3,3
46,9,15,30,P1 Slage,0,0,1,1,0,0,0,1,1,0,4,2,0,1,0,1,10,4,3
47,10,9,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,14,5,3
48,11,9,30,P1 Slage,0,0,1,2,0,0,0,2,2,2,3,4,0,1,0,0,16,6,3
49,12,9,27,P2 Solegit,0,0,1,2,0,0,0,1,1,2,1,3,0,3,0,2,18,4,3
50,13,7,27,P1 Slage,0,0,2,2,0,0,0,2,1,2,2,4,0,1,1,0,23,7,3
51,14,7,27,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,0,25,7,3
52,15,10,20,P1 Slage,3,0,1,2,0,0,0,3,1,1,3,5,0,2,1,0,31,8,3
53,16,10,20,P2 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,1,32,7,3
54,17,10,13,P1 Slage,0,0,1,2,0,0,0,3,2,1,4,5,0,3,1,1,39,8,3
55,18,10,13,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,8,33,1,3
56,19,10,6,P1 Slage,0,0,1,2,0,0,0,3,0,2,1,5,0,3,1,-6,55,16,3
57,20,10,6,P2 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,6,37,4,3
58,21,10,-1,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,10,55,0,3
59,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
60,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
61,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
62,4,27,30,P2 Solegit,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,1,3,1,4
63,5,27,30,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,4
64,6,25,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,6,3,4
65,7,25,30,P1 Slage,0,0,1,1,0,0,0,1,1,0,3,2,0,1,0,0,9,4,4
66,8,25,30,P2 Solegit,0,0,1,2,0,0,0,1,1,2,2,3,0,2,0,0,10,4,4
67,9,25,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,13,4,4
68,10,25,28,P2 Solegit,0,0,2,2,0,0,0,4,1,2,2,6,0,2,1,1,14,4,4
69,11,25,28,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,2,17,4,4
70,12,23,28,P2 Solegit,0,0,1,3,0,0,0,3,3,2,4,6,0,3,1,0,20,6,4
71,13,23,28,P1 Slage,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,24,7,4
72,14,6,28,P2 Solegit,0,0,1,1,0,0,0,5,0,1,0,6,0,3,1,2,25,5,4
73,15,9,26,P1 Slage,3,0,1,1,0,0,0,5,0,0,4,6,0,2,0,2,30,6,4
74,16,1,26,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,3,1,4,29,4,4
75,17,1,12,P1 Slage,0,0,1,2,0,0,0,5,0,2,0,7,0,2,0,-4,43,13,4
76,18,-7,12,P2 Solegit,0,0,1,0,0,0,0,2,0,0,1,2,0,3,1,9,29,0,4
77,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
78,2,26,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,5
79,3,26,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
80,4,24,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,5
81,5,24,30,P1 Slage,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,3,2,0,5
82,6,21,30,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,1,6,2,5
83,7,21,28,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,4,5
84,8,16,28,P2 Solegit,0,0,1,1,0,0,0,3,1,0,1,4,0,3,0,3,7,1,5
85,9,16,20,P1 Slage,0,0,1,1,0,0,0,2,1,0,4,3,0,1,0,1,10,4,5
86,10,10,20,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,12,5,5
87,11,10,18,P1 Slage,0,0,1,2,0,0,0,3,1,2,2,5,0,1,0,0,16,6,5
88,12,10,18,P2 Solegit,0,0,4,4,0,0,0,0,0,3,1,4,0,4,0,0,18,6,5
89,13,8,17,P1 Slage,0,0,2,2,0,0,0,2,0,2,1,4,0,1,1,1,22,6,5
90,14,7,17,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,6,19,1,5
91,15,7,17,P1 Slage,0,0,1,2,0,0,0,0,5,2,8,2,0,1,1,0,30,8,5
92,16,7,17,P2 Solegit,0,0,1,0,0,0,0,3,3,0,3,3,0,4,0,8,19,0,5
93,17,7,10,P1 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,9,30,0,5
94,18,7,10,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,9,19,0,5
95,19,7,3,P1 Slage,0,0,1,1,0,0,1,2,0,1,0,3,0,1,1,1,39,9,5
96,20,7,3,P2 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,10,19,0,5
97,21,7,-5,P1 Slage,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,10,39,0,5
98,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
99,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
100,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6
101,4,26,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,6
102,5,26,30,P1 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,3,6
103,6,24,30,P2 Solegit,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,1,5,2,6
104,7,28,30,P1 Slage,4,0,3,2,0,0,0,2,1,1,3,4,0,1,0,0,9,4,6
105,8,28,30,P2 Solegit,0,0,1,2,0,0,0,0,0,2,1,2,0,2,0,0,9,4,6
106,9,28,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,11,2,6
107,10,24,30,P2 Solegit,0,0,1,2,0,0,0,1,0,1,0,3,0,3,0,0,14,5,6
108,11,27,30,P1 Slage,3,0,1,1,0,0,0,0,2,0,10,1,0,2,0,0,17,6,6
109,12,25,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,5,15,1,6
110,13,23,30,P1 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,2,1,1,23,6,6
