,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
3,4,27,30,P2 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,27,26,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,3,3,0,1
5,6,27,26,P2 Thijs,0,0,1,0,0,0,0,0,2,0,4,0,0,1,0,3,4,0,1
6,7,27,25,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,7,4,1
7,8,27,25,P2 Thijs,0,0,5,2,0,0,0,0,0,1,0,2,0,2,0,0,8,4,1
8,9,27,20,P1 Roffle,0,0,1,0,0,0,0,5,0,0,0,5,0,2,0,5,7,0,1
9,10,27,20,P2 Thijs,0,0,1,1,0,0,0,0,1,1,6,1,0,2,0,2,11,3,1
10,11,27,20,P1 Roffle,0,0,1,3,0,0,0,0,0,1,0,3,0,4,0,0,13,6,1
11,12,23,17,P2 Thijs,0,0,1,1,0,0,0,1,1,0,6,2,0,3,0,2,15,4,1
12,13,23,17,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,6,14,1,1
13,14,23,20,P2 Thijs,3,0,4,2,0,0,0,1,0,1,1,3,0,4,0,1,21,6,1
14,15,21,19,P1 Roffle,0,0,2,2,0,0,0,0,0,2,0,2,0,4,1,1,21,7,1
15,16,18,22,P2 Thijs,3,0,1,1,0,0,0,1,0,1,0,2,0,4,0,2,27,6,1
16,17,16,20,P1 Roffle,0,0,2,2,0,0,0,2,2,2,3,4,0,4,2,3,27,6,1
17,18,12,20,P2 Thijs,0,0,1,1,0,0,0,1,1,0,5,2,0,5,0,1,35,8,1
18,19,12,16,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,5,2,9,28,1,1
19,20,12,20,P2 Thijs,4,0,5,3,0,0,0,0,0,1,0,3,0,7,0,3,42,7,1
20,21,12,20,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,5,2,9,29,1,1
21,22,12,18,P2 Thijs,0,0,3,2,0,0,0,1,0,1,1,3,0,8,1,2,50,8,1
22,23,12,18,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,5,2,9,30,1,1
23,24,9,21,P2 Thijs,3,0,1,1,0,0,0,2,0,0,2,3,0,9,1,4,56,6,1
24,25,9,21,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,5,2,9,31,1,1
25,26,-1,18,P2 Thijs,0,0,1,1,0,0,0,2,2,0,3,3,0,10,1,6,60,4,1
26,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
27,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
28,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,2
29,4,26,28,P2 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,2
30,5,26,26,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,2
31,6,26,26,P2 Thijs,0,0,1,1,0,0,0,1,0,0,2,2,0,2,0,0,5,3,2
32,7,26,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,7,4,2
33,8,23,23,P2 Thijs,0,0,1,1,0,0,0,1,1,0,6,2,0,3,0,0,9,4,2
34,9,23,23,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,8,1,2
35,10,23,26,P2 Thijs,3,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,14,5,2
36,11,23,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,10,2,2
37,12,23,29,P2 Thijs,3,0,1,1,0,0,0,1,1,1,2,2,0,3,0,1,19,5,2
38,13,21,25,P1 Roffle,0,0,2,2,0,0,0,0,0,1,0,2,0,2,1,2,15,5,2
39,14,21,25,P2 Thijs,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,26,7,2
40,15,21,25,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,5,18,3,2
41,16,21,22,P2 Thijs,0,0,1,3,0,0,0,2,0,3,2,5,0,3,0,0,34,8,2
42,17,21,22,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,9,18,0,2
43,18,1,22,P2 Thijs,0,0,1,1,0,0,0,5,0,1,0,6,0,3,0,4,39,5,2
44,19,1,22,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,9,19,1,2
45,20,-4,22,P2 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,10,39,0,2
46,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
47,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
48,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
49,4,30,29,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,3
