,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,
2,2,30,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
3,3,30,27,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0.0,2.0,0.0,0.0,,
4,4,30,27,P2 Viper,0,0,1,2,0,0,0,0,0,1,0.0,2.0,0.0,1.0,,
5,5,30,23,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0.0,3.0,0.0,,,
6,6,29,23,P2 Viper,0,0,1,1,0,0,0,3,2,1,3.0,4.0,,,,
7,7,29,18,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0.0,3.0,0.0,,,
8,8,25,18,P2 Viper,0,0,1,1,0,0,0,2,0,1,0.0,3.0,0.0,,,
9,9,25,18,P1 Roffle,0,0,1,1,0,0,0,3,3,0,4.0,4.0,,,,
10,10,20,18,P2 Viper,0,0,1,3,0,0,0,2,0,3,1.0,,,,,
11,11,20,18,P1 Roffle,0,0,1,2,0,0,0,3,3,2,4.0,,,,,
12,12,5,18,P2 Viper,0,0,1,2,0,0,0,4,0,1,,,,,,
13,13,5,14,P1 Roffle,0,0,1,1,0,0,0,3,0,1,1.0,4.0,,,,
