,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,1
4,5,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,28,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,6,2,1
6,7,28,28,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,3,1
7,8,23,28,P2 NNKrebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,1,9,3,1
8,9,23,27,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,8,5,1
9,10,19,30,P2 NNKrebs1996,3,0,1,1,0,0,0,4,1,1,2,5,0,1,1,0,14,5,1
10,11,16,27,P1 Thijs,0,0,1,1,0,0,0,0,1,0,4,1,0,1,0,2,12,4,1
11,12,16,25,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,0,20,6,1
12,13,19,25,P1 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,18,6,1
13,14,19,23,P2 NNKrebs1996,0,0,2,1,0,0,1,0,0,1,0,1,0,1,3,0,27,7,1
14,15,19,23,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,26,8,1
15,16,19,23,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,1,3,0,1,3,0,35,8,1
16,17,17,18,P1 Thijs,0,0,8,4,0,0,0,3,1,2,4,7,0,4,1,0,35,9,1
17,18,17,16,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,7,37,2,1
18,19,25,16,P1 Thijs,8,0,1,1,0,0,0,0,5,1,5,1,0,4,1,0,45,10,1
19,20,25,19,P2 NNKrebs1996,3,0,1,2,0,0,1,0,0,1,1,2,0,2,4,0,47,10,1
20,21,28,19,P1 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,5,1,4,51,6,1
21,22,28,17,P2 NNKrebs1996,0,0,2,2,0,1,0,0,0,2,0,2,0,2,5,0,57,10,1
22,23,20,17,P1 Thijs,0,0,4,2,0,0,0,0,0,1,4,2,0,6,2,0,61,10,1
23,24,20,20,P2 NNKrebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,2,5,2,65,8,1
24,25,14,17,P1 Thijs,3,0,6,3,0,0,0,2,0,1,2,5,0,8,2,0,71,10,1
25,26,14,12,P2 NNKrebs1996,0,0,3,3,0,0,0,0,0,3,0,3,0,2,6,0,75,10,1
26,27,2,12,P1 Thijs,3,0,9,2,0,0,0,1,0,1,0,3,0,9,2,0,81,10,1
27,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
28,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
29,3,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
30,4,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,2
31,5,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
32,6,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
33,7,27,23,P1 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,4,4,2
34,8,27,23,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,10,4,2
35,9,30,23,P1 Thijs,3,0,7,2,0,0,0,0,0,1,0,2,0,2,0,1,8,4,2
36,10,30,23,P2 NNKrebs1996,0,0,1,1,0,0,1,1,0,1,1,2,0,1,2,0,15,5,2
37,11,30,23,P1 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,14,6,2
38,12,25,23,P2 NNKrebs1996,0,0,1,1,0,1,0,1,0,1,0,2,0,1,2,2,19,4,2
39,13,26,20,P1 Thijs,4,0,1,2,0,0,0,0,0,0,1,2,0,5,0,2,19,5,2
40,14,20,20,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,2,1,25,6,2
41,15,20,20,P1 Thijs,0,0,6,3,0,0,0,0,0,1,0,3,0,7,0,0,27,8,2
42,16,18,18,P2 NNKrebs1996,0,0,2,1,0,0,0,3,2,1,3,4,0,1,3,1,32,7,2
43,17,18,18,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,7,0,2,34,7,2
44,18,8,18,P2 NNKrebs1996,0,0,1,2,0,0,0,2,0,2,0,4,0,1,3,2,39,7,2
45,19,8,22,P1 Thijs,0,0,1,2,0,0,0,1,1,2,2,3,0,7,0,0,44,10,2
46,20,-1,19,P2 NNKrebs1996,0,0,1,1,0,0,0,1,2,0,3,2,0,2,3,6,43,4,2
47,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
48,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
49,3,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
